datetime,actual,mean,naive,drift,seasonal_naive,sarima,feature_model
2018-10-14,55.84894047619047,55.65054511874547,54.287059523809525,54.32304585003644,56.33339880952381,57.91222329440975,56.051681076223545
2018-10-21,55.762125,55.65054511874547,54.287059523809525,54.35903217626336,56.55730952380953,57.745975377294855,56.35512541596623
2018-10-28,58.684714285714286,55.65054511874547,54.287059523809525,54.39501850249028,57.687714285714286,57.917693104538415,56.21825163253025
2018-11-04,55.917589285714286,55.65054511874547,54.287059523809525,54.4310048287172,53.707708333333336,56.68291081354028,55.48531060278725
2018-11-11,58.163470238095236,55.65054511874547,54.287059523809525,54.46699115494412,59.21035714285715,60.648871057375146,56.93919096451023
2018-11-18,59.696083333333334,55.65054511874547,54.287059523809525,54.502977481171044,59.97938095238096,61.26490576532764,59.767694478871036
2018-11-25,61.55336309523809,55.65054511874547,54.287059523809525,54.53896380739796,60.69883333333333,61.803916603169355,61.56289711905099
2018-12-02,62.379154761904765,55.65054511874547,54.287059523809525,54.57495013362488,61.95860119047619,62.60389757208875,60.87115079997561
2018-12-09,62.32269047619047,55.65054511874547,54.287059523809525,54.6109364598518,63.12195833333334,63.15357547978837,60.37883512702185
2018-12-16,63.2435,55.65054511874547,54.287059523809525,54.64692278607872,62.71340476190476,62.10858035456756,61.25980276395347
2018-12-23,59.40855952380953,55.65054511874547,54.287059523809525,54.68290911230564,57.949869047619046,56.13336902059786,57.73818833350338
2018-12-30,49.075583333333334,55.65054511874547,54.287059523809525,54.718895438532556,48.223803571428576,49.675090643783015,48.89474004703949
2019-01-06,53.805875,55.65054511874547,54.287059523809525,54.754881764759475,54.85843452380953,58.093475664715626,48.73815447595672
2019-01-13,62.37220238095238,55.65054511874547,54.287059523809525,54.79086809098639,60.05204761904762,61.67120826098836,55.21353157546367
2019-01-20,62.423494047619045,55.65054511874547,54.287059523809525,54.82685441721331,61.868267857142854,62.92709909309015,57.07395379954985
2019-01-27,63.58701190476191,55.65054511874547,54.287059523809525,54.86284074344023,60.128232142857144,61.967025934592606,61.86168416660765
2019-02-03,62.088767857142855,55.65054511874547,54.287059523809525,54.898827069667156,60.81609523809524,61.978665484394035,60.2894656056774
2019-02-10,62.35953571428572,55.65054511874547,54.287059523809525,54.934813395894075,61.24415476190477,61.938983356771715,60.0345609569031
